2026-02-05 07:28:14,567 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:28:18,228 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:29:10,694 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:29:13,897 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:29:17,193 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:30:14,881 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:30:18,782 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:30:19,048 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:30:22,863 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:31:15,513 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:31:19,067 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:32:16,194 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:32:19,641 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:32:22,932 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:33:12,475 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
